user,text,favorite_count,retweet_count,created_at
CharukaTawanda,"@Shecky_18 @DhaniMahobho @DobbieTt Interesting so did I, I liked maboko ne zai combination better",2,0,2021-12-30 17:35:40+00:00
CharukaTawanda,@Shecky_18 @DhaniMahobho @DobbieTt Wait @Shecky_18 wakadzidza PA Gokomere,1,0,2021-12-30 17:31:21+00:00
CharukaTawanda,@HarmonyShox @Shecky_18 Already packed my bags for the roadtrip next year,2,0,2021-12-30 16:03:04+00:00
CharukaTawanda,@Shecky_18 @fl3xy_b3atz @MrEnhachi Set the date to October timboona ma results 😂,3,0,2021-12-29 17:25:43+00:00
CharukaTawanda,@nokuthuulaa But I know the Lil nigga will survive,2,0,2021-12-28 08:04:03+00:00
CharukaTawanda,"@nokuthuulaa Big tym, he killed ghost",1,0,2021-12-28 06:05:38+00:00
CharukaTawanda,@MieeCute @Oludeewon Can I join you guys,0,0,2021-12-27 04:55:48+00:00
CharukaTawanda,@AninFreddy @Oludeewon @Stephen_Hybrid Can we connect please,0,0,2021-12-27 04:55:05+00:00
CharukaTawanda,@nokuthuulaa Nah Tariq deserves that shit....,0,0,2021-12-27 04:40:42+00:00
CharukaTawanda,@OfficialFPL My #FPL team will finish up,0,0,2021-12-22 16:56:06+00:00
CharukaTawanda,"@Shecky_18 You welcome, looking forward to meet you in person someday, 😎",1,0,2021-12-20 14:26:06+00:00
CharukaTawanda,"@Shecky_18 hesi, happy festive holiday... Be safe",3,0,2021-12-20 13:58:29+00:00
CharukaTawanda,@MattMatura Send me account details when you have paid,1,0,2021-12-15 16:55:40+00:00
CharukaTawanda,"@GutuObert Tinofara Hedu, have a blessed week sir",1,0,2021-12-07 14:14:05+00:00
CharukaTawanda,@GutuObert VaGutu munofara,1,0,2021-12-07 13:26:38+00:00
CharukaTawanda,@Yvonne_Maphosa The 4th frame its like you commanding the clouds to make way for the sun,0,0,2021-11-28 10:48:03+00:00
CharukaTawanda,@Yvonne_Maphosa The view is onpoint,1,0,2021-11-28 10:41:11+00:00
CharukaTawanda,"@tshilazi @Angels1505 @PhiriTofara Ashton Kutcher was disrespectful, he must apologize",2,0,2021-11-16 19:28:46+00:00
CharukaTawanda,@nokuthuulaa 😂😂I see what you just did lol,1,0,2021-11-16 18:36:29+00:00
